Height/km,Air Density/ kg/km^3
467.5,8.849827E-04
468,8.777069E-04
468.5,8.704943E-04
469,8.633446E-04
469.5,8.562569E-04
470,8.492298E-04
470.5,8.422641E-04
471,8.353587E-04
471.5,8.285130E-04
472,8.217262E-04
472.5,8.149987E-04
473,8.083290E-04
473.5,8.017168E-04
474,7.951617E-04
474.5,7.886632E-04
475,7.822204E-04
475.5,7.758339E-04
476,7.695020E-04
476.5,7.632247E-04
477,7.570014E-04
477.5,7.508315E-04
478,7.447146E-04
478.5,7.386507E-04
479,7.326385E-04
479.5,7.266782E-04
480,7.207689E-04
480.5,7.149104E-04
481,7.091020E-04
481.5,7.033439E-04
482,6.976346E-04
482.5,6.919745E-04
483,6.863629E-04
483.5,6.807991E-04
484,6.752831E-04
484.5,6.698140E-04
485,6.643922E-04
485.5,6.590158E-04
486,6.536861E-04
486.5,6.484016E-04
487,6.431625E-04
487.5,6.379678E-04
488,6.328172E-04
488.5,6.277112E-04
489,6.226478E-04
489.5,6.176280E-04
490,6.126510E-04
490.5,6.077161E-04
491,6.028235E-04
491.5,5.979721E-04
492,5.931624E-04
492.5,5.883929E-04
493,5.836645E-04
493.5,5.789760E-04
494,5.743273E-04
494.5,5.697179E-04
495,5.651477E-04
495.5,5.606164E-04
496,5.561231E-04
496.5,5.516682E-04
497,5.472508E-04
497.5,5.428709E-04
498,5.385278E-04
498.5,5.342214E-04
499,5.299515E-04
499.5,5.257178E-04
500,5.215196E-04
500.5,5.173572E-04
501,5.132297E-04
501.5,5.091370E-04
502,5.050786E-04
502.5,5.010548E-04
503,4.970647E-04
503.5,4.931080E-04
504,4.891848E-04
504.5,4.852947E-04
505,4.814373E-04
505.5,4.776123E-04
506,4.738191E-04
506.5,4.700582E-04
507,4.663287E-04
507.5,4.626305E-04
508,4.589634E-04
508.5,4.553268E-04
509,4.517208E-04
509.5,4.481452E-04
510,4.445996E-04
510.5,4.410835E-04
511,4.375968E-04
511.5,4.341395E-04
512,4.307109E-04
512.5,4.273112E-04
513,4.239397E-04
513.5,4.205965E-04
514,4.172811E-04
514.5,4.139934E-04
515,4.107333E-04
515.5,4.075002E-04
516,4.042942E-04
516.5,4.011150E-04
517,3.979620E-04
517.5,3.948354E-04
518,3.917348E-04
518.5,3.886603E-04
519,3.856111E-04
519.5,3.825873E-04
520,3.795889E-04
520.5,3.766152E-04
521,3.736661E-04
521.5,3.707416E-04
522,3.678414E-04
522.5,3.649652E-04
523,3.621130E-04
523.5,3.592844E-04
524,3.564792E-04
524.5,3.536974E-04
525,3.509384E-04
525.5,3.482025E-04
526,3.454891E-04
526.5,3.427982E-04
527,3.401296E-04
527.5,3.374830E-04
528,3.348582E-04
528.5,3.322553E-04
529,3.296738E-04
529.5,3.271137E-04
530,3.245746E-04
530.5,3.220565E-04
531,3.195592E-04
531.5,3.170825E-04
532,3.146261E-04
532.5,3.121902E-04
533,3.097742E-04
533.5,3.073781E-04
534,3.050017E-04
534.5,3.026448E-04
535,3.003075E-04
535.5,2.979893E-04
536,2.956901E-04
536.5,2.934099E-04
537,2.911483E-04
537.5,2.889054E-04
538,2.866809E-04
538.5,2.844747E-04
539,2.822866E-04
539.5,2.801163E-04
540,2.779639E-04
540.5,2.758291E-04
541,2.737118E-04
541.5,2.716118E-04
542,2.695291E-04
542.5,2.674633E-04
543,2.654145E-04
543.5,2.633823E-04
544,2.613669E-04
544.5,2.593678E-04
545,2.573852E-04
545.5,2.554188E-04
546,2.534684E-04
546.5,2.515339E-04
547,2.496151E-04
547.5,2.477122E-04
548,2.458246E-04
548.5,2.439525E-04
549,2.420955E-04
549.5,2.402537E-04
550,2.384269E-04
550.5,2.366150E-04
551,2.348179E-04
551.5,2.330352E-04
552,2.312672E-04
552.5,2.295135E-04
553,2.277741E-04
553.5,2.260487E-04
554,2.243374E-04
554.5,2.226401E-04
555,2.209564E-04
555.5,2.192863E-04
556,2.176299E-04
556.5,2.159870E-04
557,2.143572E-04
557.5,2.127407E-04
558,2.111373E-04
558.5,2.095469E-04
559,2.079693E-04
559.5,2.064045E-04
560,2.048523E-04
560.5,2.033127E-04
561,2.017856E-04
561.5,2.002707E-04
562,1.987681E-04
562.5,1.972777E-04
563,1.957992E-04
563.5,1.943327E-04
564,1.928781E-04
564.5,1.914352E-04
565,1.900039E-04
565.5,1.885841E-04
566,1.871757E-04
566.5,1.857787E-04
567,1.843929E-04
567.5,1.830183E-04
568,1.816548E-04
568.5,1.803021E-04
569,1.789603E-04
569.5,1.776294E-04
570,1.763092E-04
570.5,1.749995E-04
571,1.737004E-04
571.5,1.724117E-04
572,1.711333E-04
572.5,1.698652E-04
573,1.686073E-04
573.5,1.673594E-04
574,1.661215E-04
574.5,1.648935E-04
575,1.636753E-04
575.5,1.624670E-04
576,1.612682E-04
576.5,1.600790E-04
577,1.588994E-04
577.5,1.577291E-04
578,1.565683E-04
578.5,1.554168E-04
579,1.542744E-04
579.5,1.531410E-04
580,1.520168E-04
580.5,1.509015E-04
581,1.497951E-04
581.5,1.486976E-04
582,1.476087E-04
582.5,1.465286E-04
583,1.454571E-04
583.5,1.443940E-04
584,1.433395E-04
584.5,1.422933E-04
585,1.412554E-04
585.5,1.402259E-04
586,1.392044E-04
586.5,1.381911E-04
587,1.371859E-04
587.5,1.361885E-04
588,1.351991E-04
588.5,1.342176E-04
589,1.332439E-04
589.5,1.322779E-04
590,1.313195E-04
590.5,1.303687E-04
591,1.294254E-04
591.5,1.284896E-04
592,1.275612E-04
592.5,1.266402E-04
593,1.257264E-04
593.5,1.248199E-04
594,1.239205E-04
594.5,1.230282E-04
595,1.221430E-04
595.5,1.212648E-04
596,1.203934E-04
596.5,1.195290E-04
597,1.186713E-04
597.5,1.178205E-04
598,1.169764E-04
598.5,1.161388E-04
599,1.153079E-04
599.5,1.144836E-04
600,1.136657E-04
600.5,1.128542E-04
601,1.120491E-04
601.5,1.112504E-04
602,1.104579E-04
602.5,1.096716E-04
603,1.088916E-04
603.5,1.081176E-04
604,1.073498E-04
